output_prefix	name	motif_id	cluster	total_tfbs	oRG_mean_score	oRG_bound	vRG_mean_score	vRG_bound	oRG_vRG_change	oRG_vRG_pvalue	oRG_vRG_highlighted
STAT4_HUMAN.H11MO.0.A_STAT4_HUMAN.H11MO.0.A	STAT4_HUMAN.H11MO.0.A	STAT4_HUMAN.H11MO.0.A	C_STAT4_HUMAN.H11MO.0.A	52750	0.13705	6522	0.1355	6259	0.0339	9.40999E-91	False
STAT6_HUMAN.H11MO.0.B_STAT6_HUMAN.H11MO.0.B	STAT6_HUMAN.H11MO.0.B	STAT6_HUMAN.H11MO.0.B	C_STAT6_HUMAN.H11MO.0.B	53016	0.12829	5918	0.12658	5754	0.03046	7.82831E-91	False
STF1_HUMAN.H11MO.0.B_STF1_HUMAN.H11MO.0.B	STF1_HUMAN.H11MO.0.B	STF1_HUMAN.H11MO.0.B	C_STF1_HUMAN.H11MO.0.B	51527	0.14287	6775	0.14493	6778	-0.03065	3.51241E-84	False
SUH_HUMAN.H11MO.0.A_SUH_HUMAN.H11MO.0.A	SUH_HUMAN.H11MO.0.A	SUH_HUMAN.H11MO.0.A	C_SUH_HUMAN.H11MO.0.A	74813	0.18714	14146	0.18921	14250	-0.01722	2.06217E-62	False
TAF1_HUMAN.H11MO.0.A_TAF1_HUMAN.H11MO.0.A	TAF1_HUMAN.H11MO.0.A	TAF1_HUMAN.H11MO.0.A	C_TAF1_HUMAN.H11MO.0.A	129565	0.26088	37073	0.26862	38060	-0.06954	1.14699E-142	False
TAL1_HUMAN.H11MO.0.A_TAL1_HUMAN.H11MO.0.A	TAL1_HUMAN.H11MO.0.A	TAL1_HUMAN.H11MO.0.A	C_GATA2_HUMAN.H11MO.0.A	20594	0.12264	2113	0.12725	2166	-0.07062	2.48372E-106	False
TBP_HUMAN.H11MO.0.A_TBP_HUMAN.H11MO.0.A	TBP_HUMAN.H11MO.0.A	TBP_HUMAN.H11MO.0.A	C_TBP_HUMAN.H11MO.0.A	28433	0.10606	2276	0.10338	2139	0.05897	1.59293E-100	False
TBX21_HUMAN.H11MO.0.A_TBX21_HUMAN.H11MO.0.A	TBX21_HUMAN.H11MO.0.A	TBX21_HUMAN.H11MO.0.A	C_TBX21_HUMAN.H11MO.0.A	72012	0.16772	11689	0.1743	12191	-0.08178	3.02986E-141	False
TBX3_HUMAN.H11MO.0.C_TBX3_HUMAN.H11MO.0.C	TBX3_HUMAN.H11MO.0.C	TBX3_HUMAN.H11MO.0.C	C_TBX3_HUMAN.H11MO.0.C	69972	0.15896	10729	0.16398	10966	-0.06558	1.29134E-121	False
TCF7_HUMAN.H11MO.0.A_TCF7_HUMAN.H11MO.0.A	TCF7_HUMAN.H11MO.0.A	TCF7_HUMAN.H11MO.0.A	C_TCF7_HUMAN.H11MO.0.A	53995	0.11892	5534	0.11617	5305	0.0409	7.99990E-100	False
TEAD1_HUMAN.H11MO.0.A_TEAD1_HUMAN.H11MO.0.A	TEAD1_HUMAN.H11MO.0.A	TEAD1_HUMAN.H11MO.0.A	C_TEAD1_HUMAN.H11MO.0.A	43533	0.12958	4966	0.13243	5077	-0.05419	8.88572E-111	False
TEAD4_HUMAN.H11MO.0.A_TEAD4_HUMAN.H11MO.0.A	TEAD4_HUMAN.H11MO.0.A	TEAD4_HUMAN.H11MO.0.A	C_TEAD1_HUMAN.H11MO.0.A	43389	0.1233	4664	0.12579	4724	-0.04988	7.13313E-107	False
TF65_HUMAN.H11MO.0.A_TF65_HUMAN.H11MO.0.A	TF65_HUMAN.H11MO.0.A	TF65_HUMAN.H11MO.0.A	C_TF65_HUMAN.H11MO.0.A	37132	0.14526	5046	0.14708	5055	-0.02581	1.85320E-67	False
TF7L1_HUMAN.H11MO.0.B_TF7L1_HUMAN.H11MO.0.B	TF7L1_HUMAN.H11MO.0.B	TF7L1_HUMAN.H11MO.0.B	C_TCF7_HUMAN.H11MO.0.A	46664	0.1183	4705	0.11398	4415	0.05748	1.44481E-115	False
TF7L2_HUMAN.H11MO.0.A_TF7L2_HUMAN.H11MO.0.A	TF7L2_HUMAN.H11MO.0.A	TF7L2_HUMAN.H11MO.0.A	C_TCF7_HUMAN.H11MO.0.A	42125	0.12868	4781	0.12517	4554	0.04828	1.37048E-98	False
TFAP4_HUMAN.H11MO.0.A_TFAP4_HUMAN.H11MO.0.A	TFAP4_HUMAN.H11MO.0.A	TFAP4_HUMAN.H11MO.0.A	C_TFAP4_HUMAN.H11MO.0.A	53360	0.15654	8151	0.16496	8586	-0.13693	4.90791E-148	True
TFDP1_HUMAN.H11MO.0.C_TFDP1_HUMAN.H11MO.0.C	TFDP1_HUMAN.H11MO.0.C	TFDP1_HUMAN.H11MO.0.C	C_E2F7_HUMAN.H11MO.0.B	111736	0.31595	37321	0.32518	38332	-0.08382	1.90459E-144	False
TFE2_HUMAN.H11MO.0.A_TFE2_HUMAN.H11MO.0.A	TFE2_HUMAN.H11MO.0.A	TFE2_HUMAN.H11MO.0.A	C_ASCL1_HUMAN.H11MO.0.A	65658	0.15451	10037	0.16539	10799	-0.17803	1.07717E-163	True
TFE3_HUMAN.H11MO.0.B_TFE3_HUMAN.H11MO.0.B	TFE3_HUMAN.H11MO.0.B	TFE3_HUMAN.H11MO.0.B	C_USF2_HUMAN.H11MO.0.A	16039	0.21914	3168	0.22333	3192	-0.03207	2.83536E-65	False
TFEB_HUMAN.H11MO.0.C_TFEB_HUMAN.H11MO.0.C	TFEB_HUMAN.H11MO.0.C	TFEB_HUMAN.H11MO.0.C	C_USF2_HUMAN.H11MO.0.A	7126	0.30168	1943	0.31276	1985	-0.10033	8.75090E-91	False
TGIF1_HUMAN.H11MO.0.A_TGIF1_HUMAN.H11MO.0.A	TGIF1_HUMAN.H11MO.0.A	TGIF1_HUMAN.H11MO.0.A	C_TGIF1_HUMAN.H11MO.0.A	22050	0.15365	3174	0.15659	3189	-0.05115	3.90537E-90	False
THA11_HUMAN.H11MO.0.B_THA11_HUMAN.H11MO.0.B	THA11_HUMAN.H11MO.0.B	THA11_HUMAN.H11MO.0.B	C_ZNF76_HUMAN.H11MO.0.C	45546	0.20632	8501	0.21075	8570	-0.02637	3.71139E-76	False
THAP1_HUMAN.H11MO.0.C_THAP1_HUMAN.H11MO.0.C	THAP1_HUMAN.H11MO.0.C	THAP1_HUMAN.H11MO.0.C	C_THAP1_HUMAN.H11MO.0.C	168811	0.31602	61303	0.32396	62614	-0.06979	1.30847E-143	False
THA_HUMAN.H11MO.0.C_THA_HUMAN.H11MO.0.C	THA_HUMAN.H11MO.0.C	THA_HUMAN.H11MO.0.C	C_THA_HUMAN.H11MO.0.C	41575	0.14436	5485	0.14573	5503	-0.00754	3.14289E-24	False
THB_HUMAN.H11MO.0.C_THB_HUMAN.H11MO.0.C	THB_HUMAN.H11MO.0.C	THB_HUMAN.H11MO.0.C	C_THB_HUMAN.H11MO.0.C	41777	0.16044	6358	0.1637	6437	-0.03508	1.65513E-84	False
TWST1_HUMAN.H11MO.0.A_TWST1_HUMAN.H11MO.0.A	TWST1_HUMAN.H11MO.0.A	TWST1_HUMAN.H11MO.0.A	C_TWST1_HUMAN.H11MO.0.A	41941	0.10649	3606	0.10859	3622	-0.04164	2.60839E-95	False
TYY1_HUMAN.H11MO.0.A_TYY1_HUMAN.H11MO.0.A	TYY1_HUMAN.H11MO.0.A	TYY1_HUMAN.H11MO.0.A	C_TYY1_HUMAN.H11MO.0.A	27435	0.2219	6406	0.22843	6423	-0.05233	7.33498E-93	False
USF1_HUMAN.H11MO.0.A_USF1_HUMAN.H11MO.0.A	USF1_HUMAN.H11MO.0.A	USF1_HUMAN.H11MO.0.A	C_USF2_HUMAN.H11MO.0.A	18690	0.23084	3979	0.23731	4021	-0.05958	6.35883E-95	False
USF2_HUMAN.H11MO.0.A_USF2_HUMAN.H11MO.0.A	USF2_HUMAN.H11MO.0.A	USF2_HUMAN.H11MO.0.A	C_USF2_HUMAN.H11MO.0.A	24228	0.25383	6058	0.2624	6138	-0.08767	7.18234E-112	False
VDR_HUMAN.H11MO.0.A_VDR_HUMAN.H11MO.0.A	VDR_HUMAN.H11MO.0.A	VDR_HUMAN.H11MO.0.A	C_VDR_HUMAN.H11MO.0.A	46370	0.171	7814	0.17449	7944	-0.04357	8.28108E-97	False
VEZF1_HUMAN.H11MO.0.C_VEZF1_HUMAN.H11MO.0.C	VEZF1_HUMAN.H11MO.0.C	VEZF1_HUMAN.H11MO.0.C	C_MAZ_HUMAN.H11MO.0.A	260988	0.2227	60522	0.22966	62261	-0.0754	1.23339E-158	False
WT1_HUMAN.H11MO.0.C_WT1_HUMAN.H11MO.0.C	WT1_HUMAN.H11MO.0.C	WT1_HUMAN.H11MO.0.C	C_MAZ_HUMAN.H11MO.0.A	262374	0.2629	74168	0.27128	76348	-0.08659	7.99642E-164	False
Z324A_HUMAN.H11MO.0.C_Z324A_HUMAN.H11MO.0.C	Z324A_HUMAN.H11MO.0.C	Z324A_HUMAN.H11MO.0.C	C_Z324A_HUMAN.H11MO.0.C	88980	0.19476	17680	0.20097	18197	-0.07237	7.09180E-133	False
Z354A_HUMAN.H11MO.0.C_Z354A_HUMAN.H11MO.0.C	Z354A_HUMAN.H11MO.0.C	Z354A_HUMAN.H11MO.0.C	C_Z354A_HUMAN.H11MO.0.C	82943	0.09582	5896	0.0921	5482	0.07471	1.59358E-140	True
ZBT14_HUMAN.H11MO.0.C_ZBT14_HUMAN.H11MO.0.C	ZBT14_HUMAN.H11MO.0.C	ZBT14_HUMAN.H11MO.0.C	C_ZBT14_HUMAN.H11MO.0.C	27485	0.40824	12702	0.42032	13013	-0.09724	2.21895E-122	False
ZBT17_HUMAN.H11MO.0.A_ZBT17_HUMAN.H11MO.0.A	ZBT17_HUMAN.H11MO.0.A	ZBT17_HUMAN.H11MO.0.A	C_MAZ_HUMAN.H11MO.0.A	243774	0.22797	57249	0.23536	58954	-0.07884	8.14789E-160	False
ZBT18_HUMAN.H11MO.0.C_ZBT18_HUMAN.H11MO.0.C	ZBT18_HUMAN.H11MO.0.C	ZBT18_HUMAN.H11MO.0.C	C_ZBT18_HUMAN.H11MO.0.C	52142	0.14918	7509	0.15655	7946	-0.11707	1.12656E-142	False
ZBT48_HUMAN.H11MO.0.C_ZBT48_HUMAN.H11MO.0.C	ZBT48_HUMAN.H11MO.0.C	ZBT48_HUMAN.H11MO.0.C	C_ZBT48_HUMAN.H11MO.0.C	41268	0.17807	7195	0.18207	7326	-0.04508	8.88031E-97	False
ZBT7A_HUMAN.H11MO.0.A_ZBT7A_HUMAN.H11MO.0.A	ZBT7A_HUMAN.H11MO.0.A	ZBT7A_HUMAN.H11MO.0.A	C_ZBT7A_HUMAN.H11MO.0.A	56099	0.22169	13354	0.2294	13776	-0.087	3.32428E-128	False
ZBTB6_HUMAN.H11MO.0.C_ZBTB6_HUMAN.H11MO.0.C	ZBTB6_HUMAN.H11MO.0.C	ZBTB6_HUMAN.H11MO.0.C	C_ZBTB6_HUMAN.H11MO.0.C	64512	0.20197	13754	0.20678	14109	-0.04978	9.66815E-113	False
ZEB1_HUMAN.H11MO.0.A_ZEB1_HUMAN.H11MO.0.A	ZEB1_HUMAN.H11MO.0.A	ZEB1_HUMAN.H11MO.0.A	C_ZEB1_HUMAN.H11MO.0.A	38070	0.12194	4028	0.12453	4049	-0.03441	9.41640E-84	False
ZFP28_HUMAN.H11MO.0.C_ZFP28_HUMAN.H11MO.0.C	ZFP28_HUMAN.H11MO.0.C	ZFP28_HUMAN.H11MO.0.C	C_ZFP28_HUMAN.H11MO.0.C	122502	0.10306	9932	0.10062	9406	0.04867	9.15665E-125	False
ZFP42_HUMAN.H11MO.0.A_ZFP42_HUMAN.H11MO.0.A	ZFP42_HUMAN.H11MO.0.A	ZFP42_HUMAN.H11MO.0.A	C_TYY1_HUMAN.H11MO.0.A	36480	0.18584	6862	0.18995	6801	-0.03387	3.36986E-86	False
ZFP82_HUMAN.H11MO.0.C_ZFP82_HUMAN.H11MO.0.C	ZFP82_HUMAN.H11MO.0.C	ZFP82_HUMAN.H11MO.0.C	C_ZFP82_HUMAN.H11MO.0.C	113395	0.11471	10862	0.11341	10471	0.02993	1.66128E-103	False
ZFX_HUMAN.H11MO.0.A_ZFX_HUMAN.H11MO.0.A	ZFX_HUMAN.H11MO.0.A	ZFX_HUMAN.H11MO.0.A	C_ZFX_HUMAN.H11MO.0.A	66975	0.23262	16388	0.23747	16700	-0.03692	1.10888E-101	False
ZIC1_HUMAN.H11MO.0.B_ZIC1_HUMAN.H11MO.0.B	ZIC1_HUMAN.H11MO.0.B	ZIC1_HUMAN.H11MO.0.B	C_ZIC1_HUMAN.H11MO.0.B	80180	0.21294	17677	0.2222	18421	-0.11146	1.00994E-144	False
ZIC3_HUMAN.H11MO.0.B_ZIC3_HUMAN.H11MO.0.B	ZIC3_HUMAN.H11MO.0.B	ZIC3_HUMAN.H11MO.0.B	C_ZIC3_HUMAN.H11MO.0.B	80368	0.17623	14494	0.17937	14610	-0.03146	1.38022E-96	False
ZIM3_HUMAN.H11MO.0.C_ZIM3_HUMAN.H11MO.0.C	ZIM3_HUMAN.H11MO.0.C	ZIM3_HUMAN.H11MO.0.C	C_ZIM3_HUMAN.H11MO.0.C	73334	0.11292	7000	0.11148	6684	0.02749	6.12790E-87	False
ZKSC1_HUMAN.H11MO.0.B_ZKSC1_HUMAN.H11MO.0.B	ZKSC1_HUMAN.H11MO.0.B	ZKSC1_HUMAN.H11MO.0.B	C_ZKSC1_HUMAN.H11MO.0.B	34565	0.14224	4421	0.14302	4407	-0.00399	1.70110E-08	False
ZN121_HUMAN.H11MO.0.C_ZN121_HUMAN.H11MO.0.C	ZN121_HUMAN.H11MO.0.C	ZN121_HUMAN.H11MO.0.C	C_ZN121_HUMAN.H11MO.0.C	58854	0.16729	9636	0.1695	9646	-0.0129	5.44280E-53	False
ZN134_HUMAN.H11MO.0.C_ZN134_HUMAN.H11MO.0.C	ZN134_HUMAN.H11MO.0.C	ZN134_HUMAN.H11MO.0.C	C_ZN134_HUMAN.H11MO.0.C	36297	0.17971	6313	0.18306	6454	-0.046	1.14949E-93	False
ZN136_HUMAN.H11MO.0.C_ZN136_HUMAN.H11MO.0.C	ZN136_HUMAN.H11MO.0.C	ZN136_HUMAN.H11MO.0.C	C_ZN136_HUMAN.H11MO.0.C	32899	0.11481	3176	0.11305	3014	0.0306	4.29556E-74	False
ZN140_HUMAN.H11MO.0.C_ZN140_HUMAN.H11MO.0.C	ZN140_HUMAN.H11MO.0.C	ZN140_HUMAN.H11MO.0.C	C_ZN140_HUMAN.H11MO.0.C	39304	0.14642	5254	0.147	5229	0.00288	2.16303E-09	False
ZN143_HUMAN.H11MO.0.A_ZN143_HUMAN.H11MO.0.A	ZN143_HUMAN.H11MO.0.A	ZN143_HUMAN.H11MO.0.A	C_ZNF76_HUMAN.H11MO.0.C	50818	0.20778	9553	0.21262	9691	-0.02588	4.61571E-81	False
ZN214_HUMAN.H11MO.0.C_ZN214_HUMAN.H11MO.0.C	ZN214_HUMAN.H11MO.0.C	ZN214_HUMAN.H11MO.0.C	C_ZN214_HUMAN.H11MO.0.C	39701	0.11788	4016	0.11645	3884	0.01663	1.22256E-52	False
ZN250_HUMAN.H11MO.0.C_ZN250_HUMAN.H11MO.0.C	ZN250_HUMAN.H11MO.0.C	ZN250_HUMAN.H11MO.0.C	C_ZN250_HUMAN.H11MO.0.C	29351	0.11405	2835	0.11246	2738	0.02874	1.58562E-73	False
ZN257_HUMAN.H11MO.0.C_ZN257_HUMAN.H11MO.0.C	ZN257_HUMAN.H11MO.0.C	ZN257_HUMAN.H11MO.0.C	C_ZN257_HUMAN.H11MO.0.C	53878	0.15622	8047	0.1582	8047	-0.01364	1.57901E-51	False
ZN260_HUMAN.H11MO.0.C_ZN260_HUMAN.H11MO.0.C	ZN260_HUMAN.H11MO.0.C	ZN260_HUMAN.H11MO.0.C	C_ZN260_HUMAN.H11MO.0.C	36082	0.10272	2930	0.09968	2736	0.05123	4.00239E-101	False
ZN263_HUMAN.H11MO.0.A_ZN263_HUMAN.H11MO.0.A	ZN263_HUMAN.H11MO.0.A	ZN263_HUMAN.H11MO.0.A	C_MAZ_HUMAN.H11MO.0.A	213385	0.22865	51214	0.23609	52716	-0.07833	6.83612E-154	False
ZN264_HUMAN.H11MO.0.C_ZN264_HUMAN.H11MO.0.C	ZN264_HUMAN.H11MO.0.C	ZN264_HUMAN.H11MO.0.C	C_ZN264_HUMAN.H11MO.0.C	29946	0.13229	3481	0.13148	3424	0.01264	2.02184E-46	False
ZN274_HUMAN.H11MO.0.A_ZN274_HUMAN.H11MO.0.A	ZN274_HUMAN.H11MO.0.A	ZN274_HUMAN.H11MO.0.A	C_ZN274_HUMAN.H11MO.0.A	47094	0.12231	4976	0.12145	4851	0.01975	4.07968E-68	False
ZN281_HUMAN.H11MO.0.A_ZN281_HUMAN.H11MO.0.A	ZN281_HUMAN.H11MO.0.A	ZN281_HUMAN.H11MO.0.A	C_MAZ_HUMAN.H11MO.0.A	209902	0.25812	56488	0.26683	58412	-0.09404	3.69386E-162	False
ZN317_HUMAN.H11MO.0.C_ZN317_HUMAN.H11MO.0.C	ZN317_HUMAN.H11MO.0.C	ZN317_HUMAN.H11MO.0.C	C_ZN317_HUMAN.H11MO.0.C	35269	0.11613	3356	0.11577	3308	-0.00574	1.35249E-21	False
ZN320_HUMAN.H11MO.0.C_ZN320_HUMAN.H11MO.0.C	ZN320_HUMAN.H11MO.0.C	ZN320_HUMAN.H11MO.0.C	C_ZN320_HUMAN.H11MO.0.C	110922	0.21109	24654	0.21798	25409	-0.08063	5.36367E-142	False
ZN322_HUMAN.H11MO.0.B_ZN322_HUMAN.H11MO.0.B	ZN322_HUMAN.H11MO.0.B	ZN322_HUMAN.H11MO.0.B	C_ZN322_HUMAN.H11MO.0.B	73169	0.20071	15364	0.20457	15642	-0.03733	9.15228E-102	False
ZN329_HUMAN.H11MO.0.C_ZN329_HUMAN.H11MO.0.C	ZN329_HUMAN.H11MO.0.C	ZN329_HUMAN.H11MO.0.C	C_ZN329_HUMAN.H11MO.0.C	40557	0.16751	6612	0.17078	6739	-0.04357	5.11245E-94	False
ZN331_HUMAN.H11MO.0.C_ZN331_HUMAN.H11MO.0.C	ZN331_HUMAN.H11MO.0.C	ZN331_HUMAN.H11MO.0.C	C_ZN331_HUMAN.H11MO.0.C	69571	0.19781	14129	0.20309	14451	-0.06119	1.15521E-117	False
ZN335_HUMAN.H11MO.0.A_ZN335_HUMAN.H11MO.0.A	ZN335_HUMAN.H11MO.0.A	ZN335_HUMAN.H11MO.0.A	C_ZN335_HUMAN.H11MO.0.A	81372	0.20745	17899	0.21237	18263	-0.04902	6.74304E-115	False
ZN341_HUMAN.H11MO.0.C_ZN341_HUMAN.H11MO.0.C	ZN341_HUMAN.H11MO.0.C	ZN341_HUMAN.H11MO.0.C	C_ZN341_HUMAN.H11MO.0.C	251724	0.22863	60962	0.23546	62643	-0.07149	2.77651E-153	False
ZN350_HUMAN.H11MO.0.C_ZN350_HUMAN.H11MO.0.C	ZN350_HUMAN.H11MO.0.C	ZN350_HUMAN.H11MO.0.C	C_ZN350_HUMAN.H11MO.0.C	65881	0.12033	6783	0.11833	6531	0.0375	8.43100E-103	False
ZN382_HUMAN.H11MO.0.C_ZN382_HUMAN.H11MO.0.C	ZN382_HUMAN.H11MO.0.C	ZN382_HUMAN.H11MO.0.C	C_ZN382_HUMAN.H11MO.0.C	26497	0.13482	3213	0.13543	3178	0.00301	1.52914E-06	False
ZN384_HUMAN.H11MO.0.C_ZN384_HUMAN.H11MO.0.C	ZN384_HUMAN.H11MO.0.C	ZN384_HUMAN.H11MO.0.C	C_ZN384_HUMAN.H11MO.0.C	41944	0.12548	4761	0.12414	4610	0.03713	1.47407E-89	False
ZN394_HUMAN.H11MO.0.C_ZN394_HUMAN.H11MO.0.C	ZN394_HUMAN.H11MO.0.C	ZN394_HUMAN.H11MO.0.C	C_ZN394_HUMAN.H11MO.0.C	107380	0.10974	9581	0.10714	9188	0.04614	1.27622E-124	False
ZN418_HUMAN.H11MO.0.C_ZN418_HUMAN.H11MO.0.C	ZN418_HUMAN.H11MO.0.C	ZN418_HUMAN.H11MO.0.C	C_ZN418_HUMAN.H11MO.0.C	68790	0.13121	8038	0.13038	7839	0.01955	4.73239E-73	False
ZN436_HUMAN.H11MO.0.C_ZN436_HUMAN.H11MO.0.C	ZN436_HUMAN.H11MO.0.C	ZN436_HUMAN.H11MO.0.C	C_ZN436_HUMAN.H11MO.0.C	82291	0.19517	16268	0.19966	16648	-0.04464	4.24508E-112	False
ZN449_HUMAN.H11MO.0.C_ZN449_HUMAN.H11MO.0.C	ZN449_HUMAN.H11MO.0.C	ZN449_HUMAN.H11MO.0.C	C_ZN449_HUMAN.H11MO.0.C	63591	0.21141	13598	0.21713	13911	-0.06068	2.87367E-121	False
ZN467_HUMAN.H11MO.0.C_ZN467_HUMAN.H11MO.0.C	ZN467_HUMAN.H11MO.0.C	ZN467_HUMAN.H11MO.0.C	C_MAZ_HUMAN.H11MO.0.A	262127	0.21954	59803	0.22643	61541	-0.07516	1.47716E-158	False
ZN490_HUMAN.H11MO.0.C_ZN490_HUMAN.H11MO.0.C	ZN490_HUMAN.H11MO.0.C	ZN490_HUMAN.H11MO.0.C	C_ZN490_HUMAN.H11MO.0.C	42050	0.11854	4247	0.11787	4142	0.01091	3.97405E-43	False
ZN502_HUMAN.H11MO.0.C_ZN502_HUMAN.H11MO.0.C	ZN502_HUMAN.H11MO.0.C	ZN502_HUMAN.H11MO.0.C	C_ZN502_HUMAN.H11MO.0.C	35682	0.11919	3600	0.11769	3514	0.01812	2.50595E-57	False
ZN528_HUMAN.H11MO.0.C_ZN528_HUMAN.H11MO.0.C	ZN528_HUMAN.H11MO.0.C	ZN528_HUMAN.H11MO.0.C	C_ZN528_HUMAN.H11MO.0.C	55855	0.1485	7829	0.14945	7719	-0.00819	1.79327E-34	False
ZN547_HUMAN.H11MO.0.C_ZN547_HUMAN.H11MO.0.C	ZN547_HUMAN.H11MO.0.C	ZN547_HUMAN.H11MO.0.C	C_ZN547_HUMAN.H11MO.0.C	36193	0.17019	6134	0.17223	6173	-0.02159	8.73484E-63	False
ZN549_HUMAN.H11MO.0.C_ZN549_HUMAN.H11MO.0.C	ZN549_HUMAN.H11MO.0.C	ZN549_HUMAN.H11MO.0.C	C_ZN549_HUMAN.H11MO.0.C	39807	0.1488	5610	0.14997	5571	-0.02162	3.27804E-68	False
ZN554_HUMAN.H11MO.0.C_ZN554_HUMAN.H11MO.0.C	ZN554_HUMAN.H11MO.0.C	ZN554_HUMAN.H11MO.0.C	C_ZN554_HUMAN.H11MO.0.C	60999	0.20114	12331	0.20614	12569	-0.05893	1.10643E-120	False
ZN563_HUMAN.H11MO.0.C_ZN563_HUMAN.H11MO.0.C	ZN563_HUMAN.H11MO.0.C	ZN563_HUMAN.H11MO.0.C	C_ZN563_HUMAN.H11MO.0.C	85780	0.21587	20230	0.22146	20774	-0.06526	1.04595E-120	False
ZN582_HUMAN.H11MO.0.C_ZN582_HUMAN.H11MO.0.C	ZN582_HUMAN.H11MO.0.C	ZN582_HUMAN.H11MO.0.C	C_ZN582_HUMAN.H11MO.0.C	37429	0.13805	4644	0.13749	4571	-0.00378	2.18286E-07	False
ZN586_HUMAN.H11MO.0.C_ZN586_HUMAN.H11MO.0.C	ZN586_HUMAN.H11MO.0.C	ZN586_HUMAN.H11MO.0.C	C_ZN586_HUMAN.H11MO.0.C	73122	0.138	9266	0.13843	9129	0.00582	1.29839E-25	False
ZN667_HUMAN.H11MO.0.C_ZN667_HUMAN.H11MO.0.C	ZN667_HUMAN.H11MO.0.C	ZN667_HUMAN.H11MO.0.C	C_ZN667_HUMAN.H11MO.0.C	56754	0.17962	10338	0.18285	10424	-0.03201	2.60033E-91	False
ZN680_HUMAN.H11MO.0.C_ZN680_HUMAN.H11MO.0.C	ZN680_HUMAN.H11MO.0.C	ZN680_HUMAN.H11MO.0.C	C_ZN680_HUMAN.H11MO.0.C	49321	0.12567	5318	0.12576	5258	0.00525	1.89675E-19	False
ZN708_HUMAN.H11MO.0.C_ZN708_HUMAN.H11MO.0.C	ZN708_HUMAN.H11MO.0.C	ZN708_HUMAN.H11MO.0.C	C_ZN708_HUMAN.H11MO.0.C	44735	0.15626	6711	0.15842	6736	-0.02537	1.23667E-74	False
ZN768_HUMAN.H11MO.0.C_ZN768_HUMAN.H11MO.0.C	ZN768_HUMAN.H11MO.0.C	ZN768_HUMAN.H11MO.0.C	C_ZN768_HUMAN.H11MO.0.C	90519	0.15245	12914	0.15515	13125	-0.0264	5.23515E-93	False
ZN770_HUMAN.H11MO.0.C_ZN770_HUMAN.H11MO.0.C	ZN770_HUMAN.H11MO.0.C	ZN770_HUMAN.H11MO.0.C	C_ZN770_HUMAN.H11MO.0.C	233675	0.23172	57593	0.23878	59171	-0.07085	1.02846E-146	False
ZN816_HUMAN.H11MO.0.C_ZN816_HUMAN.H11MO.0.C	ZN816_HUMAN.H11MO.0.C	ZN816_HUMAN.H11MO.0.C	C_ZN816_HUMAN.H11MO.0.C	86590	0.19025	16539	0.19655	17108	-0.07317	3.67824E-137	False
ZNF18_HUMAN.H11MO.0.C_ZNF18_HUMAN.H11MO.0.C	ZNF18_HUMAN.H11MO.0.C	ZNF18_HUMAN.H11MO.0.C	C_ZNF18_HUMAN.H11MO.0.C	38281	0.14268	5048	0.14528	5137	-0.03688	1.22740E-91	False
ZNF41_HUMAN.H11MO.0.C_ZNF41_HUMAN.H11MO.0.C	ZNF41_HUMAN.H11MO.0.C	ZNF41_HUMAN.H11MO.0.C	C_ZNF41_HUMAN.H11MO.0.C	66691	0.13365	8084	0.13393	7994	-0.00667	4.31280E-35	False
ZNF76_HUMAN.H11MO.0.C_ZNF76_HUMAN.H11MO.0.C	ZNF76_HUMAN.H11MO.0.C	ZNF76_HUMAN.H11MO.0.C	C_ZNF76_HUMAN.H11MO.0.C	80021	0.224	17633	0.23058	18043	-0.05591	3.05697E-127	False
ZNF85_HUMAN.H11MO.0.C_ZNF85_HUMAN.H11MO.0.C	ZNF85_HUMAN.H11MO.0.C	ZNF85_HUMAN.H11MO.0.C	C_ZNF85_HUMAN.H11MO.0.C	46372	0.11249	4300	0.11053	4089	0.03385	6.16824E-86	False
ZNF8_HUMAN.H11MO.0.C_ZNF8_HUMAN.H11MO.0.C	ZNF8_HUMAN.H11MO.0.C	ZNF8_HUMAN.H11MO.0.C	C_ZNF8_HUMAN.H11MO.0.C	20610	0.10319	1656	0.10247	1585	0.00662	1.59483E-17	False
ZSC22_HUMAN.H11MO.0.C_ZSC22_HUMAN.H11MO.0.C	ZSC22_HUMAN.H11MO.0.C	ZSC22_HUMAN.H11MO.0.C	C_ZSC22_HUMAN.H11MO.0.C	162737	0.24446	42340	0.25231	43438	-0.08152	2.52558E-149	False
ZSC31_HUMAN.H11MO.0.C_ZSC31_HUMAN.H11MO.0.C	ZSC31_HUMAN.H11MO.0.C	ZSC31_HUMAN.H11MO.0.C	C_ZSC31_HUMAN.H11MO.0.C	81735	0.2083	18000	0.21273	18243	-0.04293	5.85337E-107	False
